Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","1990","1995","No","274000","A","Official figure","Land under crops"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","2000","1998","No","279793","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","2010","2012","No","215034","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","1990","1995","No","170300","A","Official figure","Land under crops"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","2000","1998","No","140377","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","2010","2012","No","76550","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270032","Holdings with land size 2-<3","2010","2012","No","20073","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270033","Holdings with land size 2-<5","2000","1998","No","46639","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270034","Holdings with land size 3-<4","2010","2012","No","3514","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270035","Holdings with land size 4-<5","2010","2012","No","2785","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270036","Holdings with land size 5-<10","2010","2012","No","1665","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270037","Holdings with land size 10-<20","2010","2012","No","1871","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270066","Holdings without land","1970","1973","No","168683","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270030","Holdings with land size 0-<1","1970","1973","No","161667","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270030","Holdings with land size 0-<1","2000","2001","No","223115","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270031","Holdings with land size 1-<2","1970","1973","No","108448","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270031","Holdings with land size 1-<2","2000","2001","No","128864","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270033","Holdings with land size 2-<5","1970","1973","No","180277","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270033","Holdings with land size 2-<5","2000","2001","No","239844","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270036","Holdings with land size 5-<10","1970","1973","No","128496","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270036","Holdings with land size 5-<10","2000","2001","No","181267","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270037","Holdings with land size 10-<20","1970","1973","No","89312","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270037","Holdings with land size 10-<20","2000","2001","No","142980","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270038","Holdings with land size 20-<50","1970","1973","No","49216","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270038","Holdings with land size 20-<50","2000","2001","No","88130","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270039","Holdings with land size 50-<100","1970","1973","No","10007","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270039","Holdings with land size 50-<100","2000","2001","No","14294","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700300","Holdings with land size 100-<200","1970","1973","No","2637","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700300","Holdings with land size 100-<200","2000","2001","No","4063","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700301","Holdings with land size 200-<500","1970","1973","No","802","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700301","Holdings with land size 200-<500","2000","2001","No","1242","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1950","1950","No","233","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1960","1960","No","687","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1970","1970","No","756","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1980","1980","No","529","E","Estimated value","Interpolated data"
