name,Latitude
Australia,-25
Brunei,4.5
Cambodia,13
China,35
Fiji,-18
"Hong Kong, China",22.28552
Indonesia,-5
Japan,35.68536
Kiribati,1.421
North Korea,40
South Korea,36.5
Lao,18
Malaysia,2.5
Marshall Islands,7.113
"Micronesia, Fed. Sts.",6.924
Mongolia,46
Myanmar,21
Nauru,-0.517
New Zealand,-42
Palau,7.503
Papua New Guinea,-6
Philippines,13
Samoa,-13.8
Singapore,1.28967
Solomon Islands,-8
Taiwan,24
Thailand,15.5
Timor-Leste,-8.83333
Tonga,-20
Tuvalu,-8.51719
Vanuatu,-16
Vietnam,16.16667
Albania,41
Andorra,42.50779
Armenia,40.25
Austria,47.33333
Azerbaijan,40.5
Belarus,53
Belgium,50.75
Bosnia and Herzegovina,44.25
Bulgaria,42.66667
Croatia,45.16667
Cyprus,35
Czech Republic,49.75
Denmark,56
Estonia,59
Finland,64
France,46
Georgia,41.99998
Germany,51.5
Greece,39
Hungary,47
Iceland,65
Ireland,53
Italy,42.83333
Kazakhstan,48
Kyrgyz Republic,41.5
Latvia,57
Liechtenstein,47.16667
Lithuania,55.41667
Luxembourg,49.61167
"Macedonia, FYR",41.66667
Moldova,47.25
Monaco,43.73333
Montenegro,42.75
Netherlands,52.25
Norway,62
Poland,52
Portugal,39.6945
Romania,46
Russia,60
San Marino,43.93667
Serbia,44.81892
Slovak Republic,48.66667
Slovenia,46.08333
Spain,40
Sweden,62
Switzerland,47.00016
Tajikistan,39
Turkey,39
Turkmenistan,39.75
Ukraine,49
United Kingdom,54.75844
Uzbekistan,41.66667
Antigua and Barbuda,17.05
Argentina,-34
Bahamas,25.04082
Barbados,13.16667
Belize,17.49952
Bolivia,-17
Brazil,-10
Chile,-33.45694
Colombia,4
Costa Rica,10
Cuba,22
Dominica,15.5
Dominican Republic,19
Ecuador,-1.25
El Salvador,13.83333
Grenada,12.11667
Guatemala,14.64072
Guyana,5
Haiti,19
Honduras,15
Jamaica,18.16667
Mexico,19.42847
Nicaragua,13
Panama,8.9936
Paraguay,-23.33333
Peru,-10
St. Kitts and Nevis,17.33333
St. Lucia,13.88333
St. Vincent and the Grenadines,13.08333
Suriname,4
Trinidad and Tobago,11
Uruguay,-33
Venezuela,8
Algeria,28
Bahrain,26.03333
Djibouti,11.58901
Egypt,27
Iran,32
Iraq,33
Israel,31.5
Jordan,31
Kuwait,29.36972
Lebanon,33.83333
Libya,28
Malta,35.91667
Morocco,32
Oman,21
Qatar,25.27932
Saudi Arabia,25
Syria,35
Tunisia,34
United Arab Emirates,23.75
Palestine,31.92157
Yemen,15.5
Canada,60.10867
United States,39.76
Afghanistan,33
Bangladesh,24
Bhutan,27.5
India,22
Maldives,3.2
Nepal,28
Pakistan,30
Sri Lanka,7.75
Angola,-12.5
Benin,9.5
Botswana,-22
Burkina Faso,12.5
Burundi,-3.5
Cameroon,6
Cape Verde,16
Central African Republic,7
Chad,15
Comoros,-12.23333
"Congo, Dem. Rep.",-2.5
"Congo, Rep.",-1
Cote d'Ivoire,8
Equatorial Guinea,1.7
Eritrea,15
Ethiopia,9
Gabon,-1
Gambia,13.5
Ghana,8.1
Guinea,10.83333
Guinea-Bissau,12
Kenya,1
Lesotho,-29.5
Liberia,6.5
Madagascar,-20
Malawi,-13.5
Mali,18
Mauritania,20.25
Mauritius,-20.3
Mozambique,-18.25
Namibia,-22
Niger,18
Nigeria,10
Rwanda,-2
Sao Tome and Principe,1
Senegal,14.5
Seychelles,-4.58333
Sierra Leone,8.5
Somalia,6
South Africa,-29
Sudan,16
Swaziland,-26.5
Tanzania,-6
Togo,8.66667
Uganda,1.25
Zambia,-14.33333
Zimbabwe,-19
South Sudan,7.5
Holy See,41.90236
