country_name,ph,n_samples
Afghanistan,8.27,22.0
Albania,7.58,78.0
Algeria,8.22,15.0
Angola,6.0,2064.0
Antarctica,7.39,60.0
Argentina,7.2,725.0
Armenia,7.34,590.0
Australia,6.43,35447.0
Austria,5.6,6.0
Azerbaijan,7.23,11.0
Bangladesh,5.48,114.0
Barbados,7.22,8.0
Belarus,5.1,188.0
Belgium,6.07,7649.0
Belize,6.2,28.0
Benin,6.37,1878.0
Bhutan,5.09,93.0
Bolivia (Plurinational State of),6.14,202.0
Botswana,6.65,2152.0
Brazil,4.92,7930.0
Bulgaria,5.98,139.0
Burkina Faso,6.45,661.0
Burundi,6.1,128.0
Cambodia,5.54,120.0
Cameroon,5.41,2315.0
Canada,5.86,4139.0
Central African Republic,5.87,168.0
Chad,6.25,6.0
Chile,6.17,117.0
China,6.88,2197.0
Colombia,4.99,340.0
Congo,5.03,80.0
Costa Rica,5.49,715.0
Cuba,6.56,141.0
Czech Republic,6.36,272.0
Côte d'Ivoire,5.35,415.0
Democratic Republic of the Congo,5.27,956.0
Denmark,5.33,23.0
Ecuador,5.98,165.0
Egypt,8.13,46.0
El Salvador,5.67,18.0
Estonia,5.73,170.0
Ethiopia,6.91,1281.0
Fiji,5.66,7.0
Finland,4.5,68.0
France,6.29,2361.0
French Guiana,4.38,15.0
Gabon,4.7,108.0
Georgia,5.72,27.0
Germany,5.54,190.0
Ghana,5.78,741.0
Greece,6.58,46.0
Guam,6.68,28.0
Guatemala,6.17,35.0
Guinea,4.94,143.0
Guinea-Bissau,5.07,16.0
Guyana,4.8,109.0
Honduras,6.69,20.0
Hungary,6.84,861.0
Iceland,6.75,11.0
India,7.22,238.0
Indonesia,5.04,252.0
Iraq,7.75,22.0
Ireland,5.88,82.0
Israel,7.88,36.0
Italy,6.37,104.0
Jamaica,5.9,114.0
Jammu and Kashmir,7.22,8.0
Japan,5.21,114.0
Jordan,7.92,78.0
Kazakhstan,7.42,40.0
Kenya,6.46,1500.0
Latvia,5.68,36.0
Lebanon,8.12,10.0
Lesotho,5.59,72.0
Liberia,4.84,105.0
Libya,8.17,18.0
Lithuania,6.21,71.0
Madagascar,4.89,132.0
Malawi,5.97,1304.0
Malaysia,4.72,100.0
Mali,5.88,1007.0
Mauritania,6.96,45.0
Mexico,7.23,7991.0
Micronesia (Federated States of),5.64,22.0
Mongolia,6.57,31.0
Morocco,7.78,119.0
Mozambique,6.18,694.0
Namibia,7.88,1321.0
Nepal,6.02,188.0
Netherlands,4.9,146.0
New Zealand,5.09,28.0
Nicaragua,6.69,43.0
Niger,5.71,1112.0
Nigeria,5.99,1470.0
Norway,5.05,25.0
Occupied Palestinan Territory,7.77,29.0
Oman,8.25,40.0
Pakistan,8.18,135.0
Panama,5.46,59.0
Papua New Guinea,5.75,35.0
Peru,5.71,315.0
Philippines,6.18,194.0
Poland,4.85,499.0
Portugal,5.35,318.0
Puerto Rico,5.81,403.0
Republic of Korea,5.35,65.0
Republic of Moldova,6.75,89.0
Romania,6.18,177.0
Russian Federation,5.58,1985.0
Rwanda,5.4,233.0
Samoa,5.01,55.0
Senegal,5.99,451.0
Sierra Leone,4.72,24.0
Slovakia,6.34,143.0
Somalia,8.05,211.0
South Africa,6.62,1336.0
South Sudan,6.1,123.0
Spain,6.98,119.0
Sri Lanka,5.41,27.0
Sudan,7.61,323.0
Suriname,4.33,75.0
Swaziland,5.44,30.0
Sweden,5.42,88.0
Switzerland,5.8,4438.0
Syrian Arab Republic,8.11,119.0
Taiwan,4.92,63.0
Thailand,5.5,495.0
Togo,6.32,18.0
Tunisia,7.57,110.0
Turkey,7.36,102.0
Uganda,5.61,131.0
Ukraine,6.76,84.0
United Arab Emirates,7.62,23.0
United Kingdom,5.18,1254.0
United Republic of Tanzania,6.33,2265.0
United States Virgin Islands,6.65,79.0
United States of America,6.09,74972.0
Uruguay,5.77,233.0
Uzbekistan,7.37,13.0
Venezuela (Bolivarian Republic of),5.21,400.0
Yemen,8.26,308.0
Zambia,5.68,481.0
Zimbabwe,6.02,330.0
