Area,smallholder_pct
Albania,90.7
Algeria,57.81
American Samoa,93.17
Antigua and Barbuda,97.91
Argentina,6.3
Armenia,79.79
Australia,3.05
Austria,6.62
Azerbaijan,81.94
Bahamas,81.59
Bahrain,72.33
Bangladesh,100.0
Barbados,98.91
Belarus,99.78
Belgium,3.34
Belize,52.6
Bolivia (Plurinational State of),39.61
Botswana,66.74
Brazil,21.51
British Virgin Islands,72.98
Brunei Darussalam,86.77
Bulgaria,44.98
Burkina Faso,30.98
Cabo Verde,88.22
Cambodia,63.15
Cameroon,96.48
Canada,7.79
Chad,89.25
Chile,36.88
China,99.64
"China, Taiwan Province of",99.37
Colombia,29.15
Congo,78.76
Cook Islands,82.66
Costa Rica,27.85
Croatia,39.64
Cyprus,71.26
Czechia,14.45
Czechoslovakia,93.05
Côte d'Ivoire,75.63
Democratic Republic of the Congo,100.0
Denmark,4.18
Djibouti,100.0
Dominica,92.8
Dominican Republic,77.08
Ecuador,63.51
Egypt,91.25
El Salvador,68.65
Estonia,1.98
Eswatini,87.82
Ethiopia,99.0
Fiji,76.26
Finland,1.3
France,9.84
French Guiana,91.09
French Polynesia,94.97
Gabon,100.0
Georgia,93.31
Germany,3.7
Ghana,85.48
Greece,47.09
Guadeloupe,90.27
Guam,71.59
Guatemala,94.89
Guinea,93.16
Guinea-Bissau,97.91
Haiti,86.46
Honduras,54.72
Hungary,42.49
Iceland,1.95
India,86.08
Indonesia,87.96
Iran (Islamic Republic of),48.45
Iraq,44.59
Ireland,0.98
Israel,84.03
Italy,39.16
Jamaica,82.23
Japan,75.1
Jordan,83.36
Kazakhstan,14.34
Kenya,90.94
Kuwait,73.94
Kyrgyzstan,97.17
Lao People's Democratic Republic,53.73
Latvia,20.5
Lebanon,85.26
Lesotho,100.0
Liberia,87.26
Libya,49.43
Lithuania,18.41
Luxembourg,7.61
Madagascar,1.39
Malawi,92.0
Malaysia,89.54
Mali,68.83
Malta,81.93
Martinique,92.77
Mauritania,92.3
Mauritius,94.36
Mexico,68.8
Micronesia (Federated States of),85.81
Montenegro,73.05
Morocco,71.13
Mozambique,71.85
Myanmar,54.04
Namibia,16.95
Nepal,99.8
Netherlands (Kingdom of the),7.39
New Zealand,6.73
Nicaragua,35.29
Niger,57.86
Niue,80.25
North Macedonia,78.31
Northern Mariana Islands,71.03
Norway,11.52
Oman,89.09
Pakistan,85.68
Palau,100.0
Palestine,91.72
Panama,59.49
Paraguay,41.79
Peru,57.05
Philippines,75.04
Poland,18.68
Portugal,47.59
Puerto Rico,35.87
Qatar,80.07
Republic of Korea,96.74
Republic of Moldova,86.41
Romania,71.89
Russian Federation,4.44
Rwanda,100.0
Réunion,71.31
Saint Kitts and Nevis,98.96
Saint Lucia,82.17
Saint Vincent and the Grenadines,97.41
Samoa,46.21
Saudi Arabia,67.54
Senegal,70.01
Serbia,48.0
Seychelles,90.94
Sierra Leone,94.98
Singapore,99.68
Slovakia,14.96
Slovenia,29.48
South Africa,2.73
Spain,28.98
Sri Lanka,91.72
Suriname,69.84
Sweden,1.29
Switzerland,11.64
Thailand,46.17
Togo,33.62
Trinidad and Tobago,87.24
Tunisia,28.71
Türkiye,65.45
Uganda,90.79
United Kingdom of Great Britain and Northern Ireland,2.46
United Republic of Tanzania,59.94
United States Virgin Islands,56.28
United States of America,14.33
Uruguay,4.14
Venezuela (Bolivarian Republic of),18.77
Viet Nam,97.23
Yemen,92.95
Yugoslav SFR,78.61
Zambia,92.16
Zimbabwe,98.39
